OTUID	MNAW0514.1	MNAW0514.2	MNAW0515.1	MNAW0515.2	MNAW0914.1	MNAW0914.2	MNAW0915.1	MNAW0915.2	MNAW1214.1	MNAW1214.2	NAW0514.1	NAW0514.2	NAW0515.1	NAW0515.2	NAW0914.1	NAW0914.2	NAW0915.1	NAW0915.2	NAW1214.1	NAW1214.2	NSAIW0514.1	NSAIW0514.2	NSAIW0515.1	NSAIW0515.2	NSAIW0914.1	NSAIW0914.2	NSAIW0915.1	NSAIW0915.2	NSAIW1214.1	NSAIW1214.2	NSDW0514.1	NSDW0514.2	NSDW0515.1	NSDW0515.2	NSDW0914.1	NSDW0914.2	NSDW0915.1	NSDW0915.2	NSDW1214.1	NSDW1214.2
zASV474	146	305	8	39	20	30	119	179	52	31	366	256	54	59	133	124	70	137	61	65	5	3	2	4	4	4	15	10	5	2	9	3	1	0	3	32	10	3	2	2
zASV475	9	0	3	8	7	6	70	128	41	32	8	2	4	5	2	11	14	34	36	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV476	59	51	17	21	3	4	12	27	28	16	111	64	15	17	6	8	16	15	26	23	12	4	4	6	8	7	16	24	7	0	4	2	1	0	1	22	5	1	9	2
zASV478	16	0	2	29	6	12	77	127	83	52	1	0	17	18	6	7	10	27	8	3	0	0	0	1	1	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0
zASV479	5	0	6	31	3	2	18	39	28	6	12	2	40	82	15	12	6	21	49	35	0	0	0	2	0	1	4	1	0	0	0	0	0	0	1	16	2	0	3	1
zASV48	4	0	1	18	2	2	1	2	3	2	56	28	0	6	8	9	0	6	12	17	3371	4451	5	33	5	2	0	1	5	69	342	81	6	3	121	351	0	1	79	33
zASV480	15	0	5	28	3	8	33	32	22	6	32	11	23	9	23	12	7	25	22	30	1	0	2	5	1	1	2	0	3	4	0	1	0	3	0	12	1	1	6	0
zASV481	27	0	1	5	3	5	8	8	4	2	2	0	2	0	1	0	0	5	4	0	11	17	17	26	12	35	23	27	8	5	6	4	2	1	6	41	5	2	1	2
zASV483	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	4	0	0	21	27	4	32	23	12	21	26	14	7	6	6	19	10	1	140	7	6	34	7
zASV484	3	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	3	0	0	4	9	14	30	18	18	24	19	16	7	10	7	6	2	4	127	22	6	11	10
zASV485	79	0	9	47	13	35	120	168	53	26	36	25	22	26	61	52	36	60	44	25	41	14	31	59	43	45	62	50	32	7	18	5	20	6	11	131	17	9	27	7
zASV486	6	30	4	25	9	2	15	12	16	7	1	0	6	9	1	3	5	13	9	1	107	104	178	257	144	117	275	207	131	58	166	81	84	46	43	774	117	71	86	43
zASV487	3	0	0	4	1	1	5	2	2	0	0	0	0	3	0	0	0	0	1	0	9	14	11	32	13	18	27	18	18	5	16	12	20	4	6	83	8	8	4	6
zASV488	1	9	20	52	6	18	0	0	2	0	0	0	103	73	6	3	1	0	4	5	0	0	17	51	14	39	0	0	23	1	3	0	64	224	16	374	0	0	8	8
zASV489	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	27	1	4	5	2	12	5	9	2	67	23	44	14	3	142	24	16	34	21
zASV49	11	0	3	19	5	0	3	3	5	0	69	36	0	2	5	10	0	2	12	21	3698	4869	3	27	7	1	2	0	7	60	380	113	4	2	130	293	1	2	52	32
zASV490	0	0	0	0	0	0	54	69	0	0	0	0	0	0	0	0	52	471	0	0	0	0	0	0	0	0	284	94	0	1	0	0	0	0	0	2	586	295	0	0
zASV491	10	0	0	14	5	8	83	151	50	23	12	2	2	3	6	11	16	37	19	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
zASV492	26	0	6	14	11	2	62	86	40	15	19	8	44	52	9	17	16	58	38	41	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	2	0	0	0
zASV493	4	36	4	15	1	6	18	14	18	21	0	0	58	82	7	9	53	126	33	30	2	0	4	4	2	2	3	3	1	0	0	1	1	0	0	9	1	1	0	0
zASV494	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	40	33	3	2	6	1	10	11	4	1	59	32	43	22	8	153	31	15	43	16
zASV496	1	8	1	2	1	1	3	3	5	3	0	0	2	6	0	1	6	13	1	6	93	102	45	199	117	55	171	207	138	38	39	58	67	40	17	666	39	29	202	55
zASV497	21	0	5	12	5	4	56	69	21	20	8	1	8	15	19	17	7	26	16	15	4	7	7	17	6	12	8	14	6	4	0	0	0	0	0	22	2	1	1	0
zASV498	31	24	64	71	6	8	64	106	61	38	14	9	125	147	18	18	27	57	84	108	3	2	3	2	0	3	3	5	4	1	0	0	0	1	1	3	5	2	0	1
zASV499	10	0	8	21	11	13	57	76	43	23	3	3	32	36	45	32	48	141	106	93	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
zASV5	4	0	34	233	74	1392	891	1034	3268	1325	1	9	143	260	1025	559	4494	1448	1965	1239	1	2	960	319	539	490	2774	1182	4662	4224	16	0	1025	750	538	15002	742	1196	8868	3644
zASV50	0	0	0	4	2	3	0	2	10	0	0	1	3	4	1	1	1	0	1	2	10	7	0	8	5	0	0	0	2	5	1	1	32	0	7	5545	0	0	4	16
zASV501	20	72	15	32	4	3	57	83	45	21	7	11	27	21	8	6	10	24	40	31	2	2	2	3	1	3	2	2	0	1	1	1	0	0	0	7	1	1	0	1
zASV502	122	0	3	14	3	2	51	69	9	14	87	75	22	24	8	16	26	21	44	34	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0
zASV503	35	27	1	3	0	0	24	19	5	6	25	18	3	2	0	4	5	8	2	1	30	17	22	63	25	22	114	109	26	6	25	1	9	7	3	69	15	24	21	4
zASV504	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	36	13	2	13	9	1	22	23	13	7	32	14	24	7	2	98	29	9	12	8
zASV506	2	0	3	4	1	0	2	1	1	0	0	0	1	0	0	0	0	1	0	1	119	98	127	198	93	68	123	149	100	37	77	39	45	15	33	417	48	18	45	23
zASV508	21	0	2	14	1	3	11	7	8	2	5	0	14	28	10	5	7	16	14	2	8	6	9	15	9	2	19	17	22	6	12	10	8	7	4	85	12	18	11	6
zASV509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	14	9	5	10	9	26	0	0	11	30	16	0	99	28	18	25	0
zASV51	8	0	1	10	0	0	1	3	2	2	69	40	1	8	13	9	3	5	21	17	3617	4572	13	27	8	3	4	0	4	66	362	121	1	1	111	212	0	0	75	59
zASV512	339	518	14	71	47	38	306	426	84	38	205	148	37	54	71	49	71	188	55	51	8	2	7	19	5	25	12	23	8	3	17	0	0	0	0	11	3	5	2	0
zASV513	51	0	14	41	15	19	117	188	90	35	34	9	31	44	42	39	55	133	83	64	6	1	0	1	4	3	1	3	0	1	3	0	0	0	0	6	2	3	1	1
zASV514	0	0	2	17	2	5	11	18	18	11	1	0	38	57	16	13	28	80	23	28	1	0	1	4	0	6	7	1	6	0	0	0	0	0	0	10	0	0	3	0
zASV515	27	0	4	21	20	24	98	150	89	61	1	0	17	21	10	5	5	28	5	6	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
zASV516	106	0	11	68	20	21	147	273	122	60	70	18	162	184	50	34	61	129	102	104	0	1	0	0	1	4	2	7	1	0	4	2	2	0	0	2	6	4	0	0
zASV517	11	0	1	30	5	13	34	52	25	9	3	0	29	47	35	45	43	96	40	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV518	24	0	4	9	3	3	20	22	16	6	9	0	30	39	10	10	7	25	18	12	12	8	4	10	10	5	17	21	25	5	24	10	23	3	4	101	33	27	22	13
zASV519	7	32	16	41	6	16	84	106	31	29	8	1	22	18	40	35	35	79	27	23	2	0	6	17	4	12	10	13	3	3	0	0	2	3	0	18	2	2	1	0
zASV52	386	247	299	326	68	88	886	1412	450	288	138	45	558	647	112	78	177	341	352	292	28	24	68	91	32	47	166	128	60	16	17	17	27	9	7	185	49	52	17	5
zASV520	106	90	9	25	18	29	69	91	28	13	297	167	33	47	179	169	63	102	33	19	4	1	0	0	0	0	1	0	0	0	1	0	2	0	1	4	2	2	0	1
zASV522	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19	12	6	25	25	6	19	14	40	3	1	16	32	22	1	143	48	30	43	2
zASV523	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	75	26	20	24	16	7	42	41	35	13	44	28	43	20	2	185	45	42	43	16
zASV524	122	50	6	8	3	1	38	60	24	9	66	42	8	6	8	7	20	33	2	7	102	36	69	117	72	47	344	261	93	21	73	16	9	12	19	169	52	53	37	13
zASV525	1	0	1	1	1	0	0	5	0	0	1	0	1	1	1	1	0	3	1	0	6	13	19	36	19	12	26	29	10	9	21	2	22	6	3	102	9	5	14	7
zASV526	63	0	0	0	2	5	15	24	16	2	0	3	2	1	0	0	1	6	1	0	21	26	23	77	43	60	49	41	25	11	12	2	3	1	6	63	12	2	11	1
zASV528	1	5	0	2	0	0	0	1	0	0	0	0	3	2	0	0	1	3	1	0	78	41	5	10	5	0	12	11	6	2	166	53	54	37	5	111	39	40	63	28
zASV529	40	1	2	4	2	2	7	16	3	3	7	5	3	2	5	3	4	3	5	2	91	102	53	96	98	78	162	143	89	26	73	30	46	20	20	472	63	46	63	18
zASV53	0	0	0	7	9	3	0	0	18	1	0	1	5	5	0	0	0	0	1	1	8	3	0	12	2	2	0	0	0	9	4	0	23	0	3	4737	0	0	7	14
zASV530	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	25	23	18	12	7	19	26	14	5	54	24	22	18	6	132	18	25	35	7
zASV531	200	0	5	48	29	27	221	307	59	22	158	93	26	39	41	50	62	135	21	31	7	3	0	16	3	18	3	12	6	1	7	2	0	0	0	11	2	4	1	1
zASV534	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	35	38	33	46	38	17	59	30	68	3	13	58	64	47	4	303	98	60	105	11
